State,District,tier,positive_1,positive_2,positive_3,negative_1,negative_2,negative_3
Bihar,Sitamarhi,Tier II - Strong Performing Districts,avg_days_per_hh (0.60),poverty_log (0.40),persondays_per_hh (0.31),women_pct (-0.71),agri_worker_pct (-0.45),wage_timeliness_pct (0.02)
Bihar,Siwan,Tier II - Strong Performing Districts,avg_days_per_hh (0.74),women_pct (0.45),agri_worker_pct (0.35),female_literacy_pct (-0.03),night_lights_log (-0.00),scst_pct (0.04)
Bihar,Supaul,Tier IV - Improvement Potential Districts,agri_worker_pct (0.61),avg_days_per_hh (0.46),women_pct (0.44),wage_timeliness_pct (0.05),night_lights_log (0.11),scst_pct (0.14)
Bihar,Vaishali,Tier III - Inclusive Development Districts,women_pct (3.23),avg_days_per_hh (0.64),night_lights_log (0.35),female_literacy_pct (-0.22),poverty_log (-0.17),scst_pct (0.00)
Chhattisgarh,Bastar,Tier IV - Improvement Potential Districts,avg_days_per_hh (0.35),women_pct (0.33),persondays_per_hh (0.23),poverty_log (-0.23),night_lights_log (-0.02),wage_timeliness_pct (-0.02)
Chhattisgarh,Bijapur,Tier IV - Improvement Potential Districts,poverty_log (0.97),women_pct (0.36),night_lights_log (0.30),avg_days_per_hh (-0.46),persondays_per_hh (-0.15),female_literacy_pct (0.02)
Chhattisgarh,Bilaspur,Tier IV - Improvement Potential Districts,poverty_log (0.63),women_pct (0.36),night_lights_log (0.15),wage_timeliness_pct (-0.06),female_literacy_pct (-0.05),persondays_per_hh (0.06)
Chhattisgarh,Dakshin Bastar Dantewada,Tier I - High Impact Districts,avg_days_per_hh (1.52),persondays_per_hh (1.15),agri_worker_pct (0.20),female_literacy_pct (-0.30),women_pct (-0.20),poverty_log (-0.11)
Chhattisgarh,Dhamtari,Tier II - Strong Performing Districts,avg_days_per_hh (0.43),persondays_per_hh (0.33),scst_pct (0.30),female_literacy_pct (-0.13),night_lights_log (-0.10),wage_timeliness_pct (0.04)
Chhattisgarh,Durg,Tier III - Inclusive Development Districts,women_pct (3.22),avg_days_per_hh (0.62),night_lights_log (0.27),poverty_log (-0.11),scst_pct (0.03),female_literacy_pct (0.03)
Chhattisgarh,Janjgir-Champa,Tier II - Strong Performing Districts,avg_days_per_hh (0.76),women_pct (0.43),agri_worker_pct (0.41),scst_pct (-0.25),poverty_log (-0.13),female_literacy_pct (-0.09)
Chhattisgarh,Jashpur,Tier I - High Impact Districts,persondays_per_hh (0.92),avg_days_per_hh (0.87),women_pct (0.49),poverty_log (-0.25),female_literacy_pct (-0.14),agri_worker_pct (-0.06)
Chhattisgarh,Kabeerdham,Tier I - High Impact Districts,avg_days_per_hh (1.67),persondays_per_hh (1.13),night_lights_log (0.15),poverty_log (-0.41),women_pct (-0.20),wage_timeliness_pct (-0.11)
Chhattisgarh,Korba,Tier IV - Improvement Potential Districts,poverty_log (0.68),women_pct (0.47),avg_days_per_hh (0.33),female_literacy_pct (-0.10),agri_worker_pct (-0.08),wage_timeliness_pct (-0.07)
Chhattisgarh,Korea,Tier I - High Impact Districts,avg_days_per_hh (0.96),persondays_per_hh (0.88),women_pct (0.38),poverty_log (-0.10),agri_worker_pct (0.02),night_lights_log (0.05)
Chhattisgarh,Mahasamund,Tier I - High Impact Districts,avg_days_per_hh (0.95),persondays_per_hh (0.90),wage_timeliness_pct (0.38),women_pct (-0.20),poverty_log (-0.14),agri_worker_pct (0.05)
Chhattisgarh,Narayanpur,Tier IV - Improvement Potential Districts,poverty_log (0.79),avg_days_per_hh (0.35),women_pct (0.33),wage_timeliness_pct (-0.11),agri_worker_pct (0.04),scst_pct (0.09)
Chhattisgarh,Raigarh,Tier II - Strong Performing Districts,women_pct (0.52),avg_days_per_hh (0.51),poverty_log (0.37),female_literacy_pct (-0.09),scst_pct (-0.03),night_lights_log (0.00)
Chhattisgarh,Raipur,Tier I - High Impact Districts,female_literacy_pct (0.76),persondays_per_hh (0.62),wage_timeliness_pct (0.30),women_pct (-0.30),poverty_log (-0.14),agri_worker_pct (-0.08)
Chhattisgarh,Rajnandgaon,Tier I - High Impact Districts,avg_days_per_hh (0.78),persondays_per_hh (0.76),female_literacy_pct (0.54),women_pct (-0.41),wage_timeliness_pct (-0.16),poverty_log (-0.14)
Chhattisgarh,Surguja,Tier II - Strong Performing Districts,women_pct (0.45),agri_worker_pct (0.42),wage_timeliness_pct (0.30),poverty_log (-0.03),persondays_per_hh (0.02),scst_pct (0.04)
Chhattisgarh,Uttar Bastar Kanker,Tier I - High Impact Districts,avg_days_per_hh (0.88),persondays_per_hh (0.87),wage_timeliness_pct (0.41),women_pct (-0.19),poverty_log (-0.15),agri_worker_pct (-0.07)
Goa,North Goa,Tier III - Inclusive Development Districts,women_pct (3.27),female_literacy_pct (0.39),avg_days_per_hh (0.35),agri_worker_pct (-0.69),scst_pct (0.05),wage_timeliness_pct (0.05)
Goa,South Goa,Tier III - Inclusive Development Districts,women_pct (2.69),avg_days_per_hh (0.46),female_literacy_pct (0.38),wage_timeliness_pct (-0.63),agri_worker_pct (-0.22),scst_pct (0.01)
Gujarat,Ahmedabad,Tier I - High Impact Districts,avg_days_per_hh (1.22),persondays_per_hh (1.00),women_pct (0.46),night_lights_log (-0.29),female_literacy_pct (-0.13),scst_pct (-0.07)
Gujarat,Amreli,Tier IV - Improvement Potential Districts,scst_pct (0.44),avg_days_per_hh (0.29),women_pct (0.29),female_literacy_pct (-0.17),agri_worker_pct (-0.10),poverty_log (-0.07)
Gujarat,Anand,Tier II - Strong Performing Districts,avg_days_per_hh (0.93),persondays_per_hh (0.47),women_pct (0.47),agri_worker_pct (-0.17),poverty_log (-0.04),scst_pct (-0.02)
Gujarat,Banas Kantha,Tier IV - Improvement Potential Districts,avg_days_per_hh (0.47),persondays_per_hh (0.29),women_pct (0.23),scst_pct (-0.15),agri_worker_pct (-0.12),night_lights_log (-0.05)
Gujarat,Bharuch,Tier IV - Improvement Potential Districts,women_pct (0.35),avg_days_per_hh (0.29),scst_pct (0.29),female_literacy_pct (-0.11),poverty_log (-0.10),wage_timeliness_pct (0.05)
Gujarat,Bhavnagar,Tier I - High Impact Districts,avg_days_per_hh (1.37),persondays_per_hh (1.05),female_literacy_pct (0.47),scst_pct (-0.80),wage_timeliness_pct (-0.12),agri_worker_pct (-0.04)
Gujarat,Dahod,Tier IV - Improvement Potential Districts,poverty_log (0.95),avg_days_per_hh (0.26),wage_timeliness_pct (0.22),night_lights_log (-0.06),scst_pct (-0.06),agri_worker_pct (0.04)
Gujarat,Dangs,Tier I - High Impact Districts,avg_days_per_hh (1.66),persondays_per_hh (1.28),female_literacy_pct (0.45),poverty_log (-0.35),agri_worker_pct (-0.08),night_lights_log (0.03)
Gujarat,Gandhinagar,Tier II - Strong Performing Districts,women_pct (0.50),avg_days_per_hh (0.34),agri_worker_pct (0.23),night_lights_log (-0.19),female_literacy_pct (-0.05),scst_pct (-0.01)
Gujarat,Jamnagar,Tier I - High Impact Districts,avg_days_per_hh (1.58),persondays_per_hh (1.10),women_pct (0.45),scst_pct (-0.80),wage_timeliness_pct (-0.09),night_lights_log (0.07)
Gujarat,Junagadh,Tier I - High Impact Districts,persondays_per_hh (0.89),avg_days_per_hh (0.80),female_literacy_pct (0.57),scst_pct (-0.19),women_pct (-0.08),agri_worker_pct (-0.05)
Gujarat,Kachchh,Tier I - High Impact Districts,avg_days_per_hh (1.86),persondays_per_hh (1.24),poverty_log (0.39),scst_pct (-0.12),agri_worker_pct (-0.06),women_pct (-0.01)
Gujarat,Kheda,Tier II - Strong Performing Districts,avg_days_per_hh (1.04),persondays_per_hh (0.56),agri_worker_pct (0.45),night_lights_log (-0.03),female_literacy_pct (-0.01),scst_pct (0.05)
Gujarat,Mahesana,Tier IV - Improvement Potential Districts,scst_pct (0.56),avg_days_per_hh (0.40),persondays_per_hh (0.21),female_literacy_pct (-0.17),agri_worker_pct (-0.14),poverty_log (-0.06)
Gujarat,Narmada,Tier IV - Improvement Potential Districts,poverty_log (0.61),agri_worker_pct (0.58),women_pct (0.31),persondays_per_hh (-0.10),avg_days_per_hh (-0.05),night_lights_log (-0.01)
Gujarat,Navsari,Tier III - Inclusive Development Districts,women_pct (3.50),avg_days_per_hh (0.44),female_literacy_pct (0.25),poverty_log (-0.15),scst_pct (-0.07),agri_worker_pct (0.05)
